ts,run,label,size_gb,phase,seconds,size
2026-05-03T17:20:40+02:00,99,vm-pmx9,5,full,43.455755259,20.00GiB
2026-05-03T17:20:45+02:00,99,vm-pmx9,5,incremental,2.622383256,176.00MiB
2026-05-03T17:21:20+02:00,99,vm-pmx9,5,restore,34.463368261,NA
2026-05-03T17:28:15+02:00,1,vm-pmx9,5,full,40.473110360,20.00GiB
2026-05-03T17:28:20+02:00,1,vm-pmx9,5,incremental,2.624669414,172.00MiB
2026-05-03T17:28:46+02:00,1,vm-pmx9,5,restore,25.891931859,NA
2026-05-03T17:29:59+02:00,1,lxc-pmx9,5,full,34.408641668,NA
2026-05-03T17:30:24+02:00,1,lxc-pmx9,5,incremental,24.243614232,NA
2026-05-03T17:31:22+02:00,1,lxc-pmx9,5,restore,57.607343554,NA
2026-05-03T17:33:37+02:00,2,vm-pmx9,5,full,40.688288036,20.00GiB
2026-05-03T17:33:42+02:00,2,vm-pmx9,5,incremental,2.844307459,172.00MiB
2026-05-03T17:34:19+02:00,2,vm-pmx9,5,restore,37.044199377,NA
2026-05-03T17:35:33+02:00,2,lxc-pmx9,5,full,34.059276262,NA
2026-05-03T17:35:59+02:00,2,lxc-pmx9,5,incremental,24.443152006,NA
2026-05-03T17:36:59+02:00,2,lxc-pmx9,5,restore,59.591402369,NA
2026-05-03T17:56:00+02:00,3,vm-pmx9,5,full,40.408239877,20.00GiB
2026-05-03T17:56:05+02:00,3,vm-pmx9,5,incremental,2.638696288,172.00MiB
2026-05-03T17:56:37+02:00,3,vm-pmx9,5,restore,32.128906985,NA
2026-05-03T17:57:48+02:00,3,lxc-pmx9,5,full,34.733847759,NA
2026-05-03T17:58:16+02:00,3,lxc-pmx9,5,incremental,26.538581818,NA
2026-05-03T17:59:15+02:00,3,lxc-pmx9,5,restore,58.427615080,NA
2026-05-03T18:02:19+02:00,1,vm-pmx9,12,full,65.202217177,20.00GiB
2026-05-03T18:02:24+02:00,1,vm-pmx9,12,incremental,2.762679632,168.00MiB
2026-05-03T18:03:18+02:00,1,vm-pmx9,12,restore,53.314628984,NA
2026-05-03T18:05:27+02:00,1,lxc-pmx9,12,full,67.140783049,NA
2026-05-03T18:06:13+02:00,1,lxc-pmx9,12,incremental,43.754596915,NA
2026-05-03T18:08:22+02:00,1,lxc-pmx9,12,restore,128.690912478,NA
2026-05-03T18:37:09+02:00,2,vm-pmx9,12,full,66.352958925,20.00GiB
2026-05-03T18:37:13+02:00,2,vm-pmx9,12,incremental,2.639192796,172.00MiB
2026-05-03T18:38:19+02:00,2,vm-pmx9,12,restore,64.966642932,NA
2026-05-03T18:40:30+02:00,2,lxc-pmx9,12,full,64.901304447,NA
2026-05-03T18:41:16+02:00,2,lxc-pmx9,12,incremental,44.230939396,NA
2026-05-03T18:43:26+02:00,2,lxc-pmx9,12,restore,129.642075683,NA
2026-05-03T18:47:06+02:00,3,vm-pmx9,12,full,66.299512817,20.00GiB
2026-05-03T18:47:11+02:00,3,vm-pmx9,12,incremental,2.748316365,172.00MiB
2026-05-03T18:48:17+02:00,3,vm-pmx9,12,restore,65.016398420,NA
2026-05-03T18:50:29+02:00,3,lxc-pmx9,12,full,67.483250216,NA
2026-05-03T18:51:14+02:00,3,lxc-pmx9,12,incremental,43.693920133,NA
2026-05-03T18:53:26+02:00,3,lxc-pmx9,12,restore,131.208902873,NA
