pmx,metric,vm_mean,lxc_mean,pct_diff,p_value,significance
pmx8,cpu_1t_eps,449.658,473.23400000000004,5.243095863967731,5.752525029379236e-06,***
pmx8,cpu_4t_eps,1308.0559999999998,1376.0620000000004,5.199012886298489,1.9703725311715732e-05,***
pmx8,mem_mibs,18344.503999999997,20495.348,11.724732377610236,4.838295232806807e-05,***
pmx8,fio_read_iops,20236.756053999998,55641.1993134,174.95117876069847,2.961699986275059e-09,***
pmx8,fio_write_iops,8674.9387508,23853.852435800003,174.97430380819932,2.9752863539616637e-09,***
pmx8,net_tcp_gbps,26.228502263396262,25.866419568351773,-1.3804932184397,0.919139770137633,ns
pmx8,wrk_static_rps,63946.617999999995,68980.354,7.871778301082337,0.14541106850827995,ns
pmx8,wrk_dynamic_rps,246.0,267.564,8.765853658536594,0.0041110862019258405,**
pmx8,oltp_tps,543.984,720.3399999999999,32.41933586281947,2.3053308931457748e-05,***
pmx8,idle_used_mb,563.309375,148.7484375,-73.59382887955664,4.816731255462831e-12,***
pmx9,cpu_1t_eps,445.412,470.904,5.723240505419706,5.702008868187021e-07,***
pmx9,cpu_4t_eps,1295.548,1364.444,5.317904083831704,8.806949089499829e-05,***
pmx9,mem_mibs,17899.796,20374.52,13.82543130659144,1.0092059294440098e-07,***
pmx9,fio_read_iops,20620.5763238,61652.872452,198.9871450917745,4.398200873104364e-08,***
pmx9,fio_write_iops,8839.6326728,26429.5595074,198.98934136398114,4.395926205925691e-08,***
pmx9,net_tcp_gbps,24.8536801355606,28.550944912475256,14.876126017348287,0.16160870271522718,ns
pmx9,wrk_static_rps,63444.168000000005,69845.974,10.090456226015915,0.19297710129455514,ns
pmx9,wrk_dynamic_rps,247.6,256.87800000000004,3.7471728594507465,0.052132016033593416,ns
pmx9,oltp_tps,506.41,782.828,54.58383523232162,5.188310834949999e-07,***
pmx9,idle_used_mb,517.02421875,142.680078125,-72.4035987192331,3.0133198254215977e-10,***
